Review,Polarity
Dramë erotike që të bën për vete. E rekomandoj!,1
Muzikë koti e viteve ‘70 që e bën filmin të mërzitshëm. Më zhgënjeu komplet. ,0
Shumë i gjatë dhe me prirje për të manipuluar turmat. Aktrimi i mirë nuk e mbulon dot mërzitjen që sjell historia monotone. ,0
Aktorë të mrekullueshëm. Melodramë kryevepër që provokon mendimet.,1
"Shqelma, grushta dhe seksualitet. Pa asnjë vlerë. ",0
Regjia shumë e dobët. Pa vlera!,0
Film që përcjell mesazhe domethënëse. Dashuria mund të kapërcejë çdo kufi. ,1
Film që të mbërthen vëmendjen. Regji dhe aktrim i shkëlqyer. ,1
Një klasik i përhershëm. U dashurova me këtë film që kur e pashë për herë të parë. ,1
Një nga më të mërzitshmit që kam parë. Nuk ka asnjë kuptim. ,0
Skena që përsëritin njëra tjetrën dhe që bëhen të mërzitshme. Nuk ia vlen fare. ,0
Aksion i shkëlqyer. Po ashtu edhe aktrimi.,1
Film i shkëlqyer. Histori interesante dhe muzike emocionuese.,1
"Gabime nga më të shumtat në skenar dhe realizim. Aktrimi jo i mirë. Efektet speciale duken të arrira, por nuk mjaftojnë. ",0
Aspak argëtues. Romancë e parashikueshme e realizuar keq. ,0
Mos humbisni kohë. Film shumë i keq. ,0
Më tepër se i bukur. Histori prekse që të emocionon. Regji dhe aktrime të shkëlqyera. ,1
"Vlera e filmave me dyluftime përcaktohet nga koreografia. Këtu koreografia është e dobët, njësoj si filmi.",0
Film argëtues. Dialogje të shkurtra por plot me aksion. Duhet ta shihni. ,1
Nuk mund ta besoj se si shumë njerëz e pëlqejnë. Film pa vlera. ,0
Film që nxit racizëm dhe keqtrajtim të kafshëve. Regji dhe aktrim i dobët që nuk sjellin gjë me vlerë. ,0
Ky film është i zbrazët nga fillimi në fund. Skenar i parashikueshëm dhe dialogje të dobëta,0
Dialogje anakronike dhe drejtim mediokër. Pa asnjë vlerë!,0
Film me mesazhe domethënëse. Gjithkush mund të mësojë diçka. ,1
Një nga filmat më të mirë të James Bond,1
Propagandë amerikane me rusë të këqinj e amerikanë të mirë. Skena aspak realiste dhe shumë të shtirura. ,0
Realizim bindës i historisë. Aktrim imirë dhe skena të bukura dyluftimesh. Tërheqës dhe argëtues. ,1
Humbje kohe. Histori e trilluar që nuk ka lidhje me të vërtetën. Rast tipik i shtrembërimeve që dikton kinematografia.,0
Një nga filmat aksion që me ka pëlqyer më shumë.,1
Ndoshta filmi më i bukur i realizuar ndonjëherë. Duhet parë parjetër,1
Filmi më i bukur që kam parë. Pa asnjë të metë. ,1
Filmi më i bukur i fëmijërisë. interesant dhe madhështor në thjeshtësinë e vet. ,1
"Shumë emocionues. Qesha, qava, qesha përsëri…",1
Jo ndonjë film interesant i gjinisë aksion.,0
Një gur i çmuar në historinë e gjinisë aksion. Duhet ta shihni.,1
"Film që i përmbledh të gjitha. Dramë, horror, aksion, aventurë. Historia nuk është realiste, por filmi nuk të zhgënjen aspak. ",1
"Veç kostumeve të bukura të aktorëve kryesor, nuk ka asnjë vlerë ky film. Mos humbisni kohë. ",0
"Kot fare! Shpërdorim parashë. Duket si gjysmë komedi, gjysmë vizatimor. ",0
Një nga filmat më të mirë të regjisorit. Duhet ta shihni patjetër. ,1
Romancë dhe aksion i bazuar në një histori të vërtetë. Vija melodike e papërsëritshme. Devijimet nga historia nuk ia zbehin vlerat. ,1
Film pa asnjë logjikë. Efekte speciale të ulëta dhe aktrim i dobët që të mërzit. ,0
Histori idiote dhe aktrim i dobët. Edhe regjia e kostumet janë kot fare. ,0
Film shumë i bukur. Komedi dashurie që të bën për vete. ,1
Mediokritet i garantuar! Asnjë vlerë artistike apo mesazh. Nuk ia vlen. ,0
Kryevepër në çdo aspekt! Duhet ta shihni patjetër. ,1
Histori qesharake e mbushur me efekte speciale të kota. Nuk ia vlen. ,0
Një nga filmat më të bukur që kam parë! Më ka magjepsur gjithnjë historia. ,1
ide idiote të përziera me horror. Aktrimi për faqe të zezë. ,0
Filmi aksion më i mirë i viteve ‘90. Diçka realiste në malet shkëmbore. ,1
Film plot aventura. Realizim interesant që e bën të përshtatshëm edhe për fëmijët. ,1
Film i shkëlqyer që të bën për vete dhe të emocionon. Gabimet historike nuk ia ulin vlerat. ,1
"Skenar shumë i mirë, beteja të realizuara bukur, aksion dhe tension. ia vlen të shihet. ",1
Film i shkruar keq dhe me regji të dobët. Si mund të quhet ky film një nga më të mirët?!,0
Film pa kuptim. Skenar i dobët dhe histori që mund të besohet vetëm nga kalamajtë. ,0
Ngelet një kryevepër edhe pas 30 vitesh. Aktorët protagonistë kanë luajtur mjeshtërisht. ,1
Kot fare. Filmi më i keq i vitit. ,0
"Tepër i gjatë, i paqartë dhe me ngatërresa historike të shumta. Muzika është e bukur por nuk mjafton. ",0
Film që mund ta shoh herë pas here. Me shumë kuptim. ,1
Dështim i plotë. Stresues për fëmijët. Nuk e rekomandoj. ,0
Ta shpif! Film tmerësisht i keq.,0
Një nga filmat komik më të mirë të të gjitha kohërave. Duhet ta shihni. ,1
"Pse ca njerëz shohin këtë plerë për krishtlindje? S’ka fare shpirt të krishtlindjeve, por vetëm dhunë të kotë. ",0
Gjithçka e përkryer në këtë film. Një kryevepër në të gjitha drejtimet. ,1
Skenar i shkruar bukur dhe me mesazh të fortë. Fuqia e dashurisë mund të mposhti gjithçka. ,1
Melodramë legjendare me regjisor dhe aktorë protagonist të papërsëritshëm. Nuk duhet ta humbisni,1
Film me skenar pa vlera. Shumë i mërzitshëm.,0
Nuk ia vlen fare. Mos humbisni kohë. ,0
Duhet ta shihni patjetër. Film që të prek dhe të emocionon sa herë që e sheh. ,1
Film i pavdekshëm. Një nga më të mirët e historisë së kinemasë. ,1
Film drithërues! Personazhe të shkëlqyera dhe aktrim i mirë. Të mbërthen vëmendjen,1
Fyerje për kinematografinë. Aktrim i dobët në një film të mërzitshëm,0
Aksion shpërthyes dhe interesant. Film i shkëlqyer.,1
Kryevepër! Film fantastiko-shkencor dhe apokaliptik e realizuar shkëlqyeshëm. ,1
Film mahnitës që nuk duhet humbur. Mesazhe dhe muzikë e pavdekshme. Dhuna fatkeqësisht e bën të papërshtatshëm për fëmijët. ,1
"Trup aktorësh i shkëlqyer. Po ashtu edhe historia, muzika dhe realizimi në përgjithësi. ",1
Një nga filmat më të dobët të regjisorit. Shpërdorim i trupës së shkëlqyer të aktorëve. ,0
Ky film është i shkëlqyer. Muzika e mrekullueshme. ,1
"Filmat britanikë janë më të mirët. Historia është e thjeshtë, por përcjell shumë pozitivitet. ",1
Një nga më të mirët që kam parë. Shumë artëtues dhe që ta mban interesin të gjallë. ,1
"Skenari, dialogjet, vendet dhe ndjeshmëria që përcjell janë të gjitha një dështim i plotë. Nuk ia vlen.",0
Film fantastik! Stili i filmave të vjetër komik. ,1
Film i rëndomtë. Shaka patetike për vajzat e reja të viteve ‘90,0
Si ka mundësi që ky film urrehet kaq shumë. Mua mu duk fantastik dhe i paharrueshëm. ,1
Aktrim dhe skenar i shkëlqyer. Më pëlqeu shumë.,1
Dramë monotone me skenar absurd dhe të përciptë. Nuk ia vlen. ,0
Filmi me vlerësimet më të pamerituara në historinë e kinematografisë.,0
Film idiot pa baza apo lidhje me realitetin. Mos humbisni kohë,0
Personazhet nuk të bëjnë për vete. Disa skena janë trajtuar cekët.  ,0
Personazh psikopat që nuk përcjell asnjë mesazh. Nuk ia vlen. ,0
Skena pa shumë kuptim. Muzika shumë e dobët. Në përgjithësi është film i mërzitshëm. ,0
Film i neveritshëm me efekte depresuese. Skenat janë të mërzitshme. ,0
E kam parë 20 apo 30 herë. Aksion që përcjell mesazhe të forta për njerëzimin. ,1
Film fantastik aksion me dyluftime. Argëtim i garantuar për këdo që i pëlqen këta filma. E rekomandoj.,1
Film i dobët dhe zhgënjyes. Larg pritshmërive. ,0
Komplet pa kuptim. Çudi që disave u pëlqeka. Skenari idiot.,0
Film idiot dhe i pabesueshëm. Shumë i përciptë. Muzika romantike nuk mjafton për një film të mirë. ,0
Film i shkëlqyer i viteve ‘90. Një nga filmat më mbresëlënës nga fëmijëria ime. ,1
Aktrim mjeshtëror me skena të paharrueshme që e bëjnë filmin shumë interesant. ,1
Histori mahnitëse dashurie që të bën për vete. Trupë e shkëlqyer aktorësh që japin më të mirën e tyre. ,1
"Film patetik, me aktrim të dobët dhe pa përmbajtje. Efektet speciale qesharake. ",0
Dialogje banale që zgjaten pa fund në kohë. Humbje e madhe kohe. ,0
Film argëtues që ia vlen ta shihni. Recensat nuk janë një tregues i drejtë apo i besueshëm. Ky film meriton më tepër.,1
Ky film është tallje me kinematografinë. ,0
Fantashkencë e dobët e krijuar me kompjuter. Asnjë vlerë artistike. ,0
Film i mërzitshëm dhe pa vlera. Skena të shtirura dhe pa përmbajtje. ,0
Një nga filmat aksion më të bukur. Ngjall emocione të forta. ,1
Film i kotë! Ka gabime nga më të ndryshmet. ,0
"ideja deri diku interesante, por realizimi për faqe të zezë. Aktrim i dobët dhe pa asnjë emocion. ",0
Histori absurde! Ç’lidhje mund të kenë peshkaqentë me alzaimerin?! Efektet speciale shumë të dobëta. ,0
Film shumë i dashur i fëmijërisë sime. Një nga filmat më të mirë me alienë. ,1
"Aktrim i dobët dhe dialogje të ulëta. Muzika përpiqet të frikësojë shikuesin, por nuk ia del. ",0
Risjellje e bukur e një përralle të lashtë. E pashë me motrën dhe na pëlqeu shumë. ,1
Film i mahnitshëm! Një nga më të mirët e të gjitha kohërave.,1
Komedi romantike që e rekomandoj shumë. E adhuroj!,1
Skenar i parashikueshëm dhe i mërzitshëm. Aktrim i dobët. Nuk ia vlen. ,0
Skenar me kuptim dhe personazhe të besueshme. Romancë e shkëlqyer që përcjell emocione. ,1
Film i mërzitshëm dhe aspak realist. Një peshkaqen i mençur dhe dy herë më i madh se pershkaqeni normal. ,0
Qesharak! Realizim bosh që është turpërues për historinë. Regjia lë për të dëshiruar dhe efektet speciale të përparuara nuk sjellin gjë.,0
"Film i padurueshëm. Dhunë idiote, dialogje qesharake dhe asnjë vlerë. Shumë i mbiçmuar. ",0
Komedia familjare më e bukur e realizuar. ,1
Nuk ka ndonjë gjë për të parë. Nivel i ulët.,0
Plerë e mbështjellë bukur. Mediokritet. ,0
Film i shkëlqyer! Muzika fantastike!,1
"Rasti tipik i një filmi me çdo element mediokër, dhe që përpiqet të dali tërheqës vetëm me anë të efekteve speciale dhe teknologjisë. ",0
Film fantastik që nuk duhet ta humbisni. Romancë e mrekullueshme dhe muzikë që të emocionon. ,1
Personazhet nuk janë realist. Aksion dhe dhunë që nuk ngjallin interes.,0
Histori idiote pa asnjë kuptim. Ndoshta ky film është realizuar për sadistët.,0
"Histori e trishtë që të prek dhe të emocionon. Filmi është realizuar shumë bukur, nga aktorët e shkëlqyer. ",1
Aksion i pandalshëm në një nga filmat më të mirë me banda. Personazhi kryesor në luftë me veten. E rekomandoj.,1
"Film që nuk bind, veçanërisht personazhi kryesor. Historia është e bukur dhe e risjellë saktë, por realizimi filmik është i dobët. ",0
Skenar i mirë dhe intrigues. Përcjell vlera edukative dhe mesazhin se këmbngulja mposht gjithçka. ,1
Ky film nuk është arritur nga ndonjë tjetër edhe pas kaq shumë vitesh. Duhet parë patjetër. ,1
"E vetmja pjesë e mirë është lutja e mbretit për trupin e të birit. Gjithçka tjetër nuk ia vlen. Aktrim i dobët, histori e shtirur.",0
Një nga filmat më kot që kam parë! Humbje kohe!,0
Skenari nuk është shfrytëzuar mirë. Aktrimi i dobët. ,0
Film i shkëlqyer me dramë dhe aksion të ndërthurur bukur. ,1
Nuk shfaq asgjë. Absurd dhe pa vlera. Mos e shikoni. ,0
"Nëse nuk të pëlqen ky film, më vjen shumë keq për ty. Je shpirt i humbur. ",1
Film i dobët nga fillimi në fund. Gabime të shumta në skenar dhe në realizimin e skenave. Efektet grafike janë të mira gjithsesi. ,0
Tri orë kryevepër! Përcjell mesazhe të pavdekshme si sakrifica për liri dhe drejtësi. Regji dhe aktrim i shkëlqyer. Muzika e pavdekshme. ,1
Film i mërzitshëm. Skenar i pabesueshëm dhe aspak origjinal. ,0
"Histori shumë e dobët, me personazhe të parashikueshëm që nuk përcjellin emocione. Vetëm muzika e bukur nuk mjafton. ",0
Film shumë i bukur. Edhe aktrimi shumë i mirë. ,1
Shpërdorim parash dhe kohe. ika nga kinemaja pa arritur filmi në gjysmë. ,0
"Film i mrekullueshëm. Pavarësisht sa i mençur je, nëse ke vullnet në atë që bën do jesh më i miri. ",1
"Skenar i mbrapshtë, aktrim i dobët dhe efekte speciale qesharake. ",0
Shumë komik dhe i bukur. Të shton jetën. ,1
E adhuroj këtë film. Larmi e madhe personazhesh. ,1
Dramë e shkëlqyer me aksion që të bën për vete. Të bën kurioz ta shohësh deri në fund.  ,1
Film që ia rekomandoj gjithkujt. Histori me aventura që të bën për vete. ,1
Aktrim i shkëlqyer. Muzika fantastike!,1
Histori origjinale! Vendet dhe skenat janë të bukura. Muzika e shkëlqyer. ,1
Një film i mrekullueshëm rreth moralit dhe së drejtës. Shumë emocionues. Në fund do qani me siguri. ,1
Disi i mërzitshëm. Koreografia e dyluftimeve është e dobët.,0
Dialog i keq. Fyes për këdo.,0
Melodramë e shkëlqyer. Aktorë të mrekullueshëm.,1
Shumë i dhunshëm si film. Skenar qesharak dhe aspak realist. Nuk ia vlen. ,0
Film fantastik! Konceptimi psikologjik është i përkryer dhe të bën për vete. Grafika dhe skenat të mrekullueshme. ,1
Skenar i bukur dhe personazhe që interpretojnë mirë. Muzika është tërheqëse por efektet janë disi të dobëta. ,1
Film shumë i kënaqshëm dhe argëtues. Çudi që nuk i ka arritur objektivat financiare. E rekomandoj!,1
Nuk ia vlen. Ka shumë gabime dhe aktrim të dobët. Dialogjet janë të varfëra. Efektet speciale janë gjithsesi të mira. ,0
Zhvillimi në kohë i karaktereve e bën këtë film shumë të veçantë. Përcjell emocione dhe mesazh të fortë. ,1
Film aksion i mrekullueshëm! Histori e thjeshtë por interesante.,1
Më pëlqeu çdo minutë e këtij filmi. Një kryevepër në çdo aspekt. ,1
Regjia më e dobët që kam parë. Shumë i mërzitshëm. ,0
Ky film të bën të duash të thyesh televizorin. S’kam parë film më të neveritshëm. ,0
Zhgënjyes dhe i dobët. Mos humbisni kohë me kotësira të tilla. ,0
"E kam parë dhjetra herë. Aktorët të mrekullueshëm, po ashtu edhe muzika. ",1
Skenar mahnitës nga fillimi në fund. Skenat janë intensive dhe të realizuara mirë. ,1
Film i mrekullueshëm i fëmijërisë. Realizim i shkëlqyer i skenave me arte marciale.,1
Aspak i bukur. Komplet i pabesueshëm.,0
"Kryevepër me aksion, mister, dramë, stres e frikë të kombinuara shkëlqyeshëm. Film i papërsëritshëm në çdo aspekt. ",1
Zhgënjim i madh. Nuk e prisja të ishte një film kaq i dobët. ,0
Film i urryer. Humbje totale kohe. Personazhe të mërzitshëm në një histori të ulët. ,0
Film spektakolar. Gazmor sa s’ka më. Të këput së qeshuri.,1
"Shiheni vetëm nëse vuani nga pagjumësia. Seriozisht, ky film nuk vlen veçse për të na vënë në gjumë. ",0
Film pa vlera. Dialogje të dobëta. ,0
Personazhe që janë si të frikshëm edhe gazmorë. Të shkëlqyera si historia edhe drejtimi e aktrimi. ,1
Një nga filmat më të bukur që janë realizuar. Aktrim i shkëlqyer nga e gjithë trupa e aktorëve. Disi i gjatë por ia vlen. ,1
Si mund të pëlqehet ky film? Skenat e dyluftimeve janë absurde. Muzika ta shpif. Film i rëndomtë në të gjitha. ,0
Përshtatje moderne e një historie klasike. Më tërhoqi deri në fund. Aktorët bashkëveprojnë mirë me njëri-tjetrin. ,1
Film aksion kryevepër. Skenar i shkëlqyer me skena të bukura dyliftimi.,1
Mishërim i përsosmërisë. Një nga filmat më të mirë të të gjitha kohërave. ,1
"Aktrimi dhe efektet janë të mira, por çdo gjë tjetër nuk ka vlerë. ",0
Një përrallë klasike. Komedi romantike shumë argëtuese që duhet parë patjetër. ,1
Racizëm dhe klishe pa fund. Aspak i bukur.,0
Paraqitje e shkëlqyer e arteve marciale. E rekomandoj!,1
Propagandë! Film i sajuar për të qenë i përciptë,0
"Fantashkencë interesante, me personazhe të spikatur dhe efekte speciale të realizuara mjaft mirë. ",1
Film i bukur që shfaq dyluftimet e rrugës. Aktrim i shkëlqyer!,1
Komedia romantike më e bukur që kam parë. Britanikët dinë t’i realizojnë filmat e kësaj gjinie. ,1
Film idiot me sa e sa gabime historike. Efektet speciale qesharake. ,0
Nuk të bën për vete ky film. Muzika është e dobët dhe nuk ngjall kuriozitet. ,0
"Tension, dramë, aventurë dhe aksion. Ky film i përmbledh të gjitha shumë bukur. ",1
Film idiot me histori idiote. Veç skenave të dyluftimeve nuk ka gjë tjetër. ,0
Filmi më i keq që kam parë gjithë jetën time,0
Film që nuk shtyhet fare. E pamundur ta shohësh deri në fund. Mos humbisni kohë. ,0
Realizim i mirë me efekte speciale të shkëlqyera. Film interesant që mund të shihet nga kushdo. ,1
Film argëtues që duhet parë patjetër. ,1
"Film pa vlera me histori koti dhe plot gabime. Efektet speciale janë të bukura, por muzika e dobët. ",0
Film qesharak. Duket sikur ia vlen vetëm për gratë që ëndërojnë të bëjnë pazar gjithë jetën. Aspak realist. ,0
"E kam parë dhjetra herë dhe vazhdoj ta shoh. Megjithëse është disi i gjatë, nuk bëhet kurrë i mërzitshëm. ",1
Skenat aksion shumë të dobëta. Plotësisht i mërzitshëm. ,0
Film interesant dhe i frikshëm. Histori tërheqëse me peshkaqentë që nuk mund të ishin më të mëdhenj. ,1
Më pëlqeu shumë dhe ia rekomandoj gjithkujt. Romancë dhe muzikë emocionuese që bazohet te lufta e dytë botërore. ,1
"Supozohet të jetë aksion, por në fakt është film qesharak, i pabesueshëm nga askush dhe shumë i turpshëm. ",0
"Film emocionues, plot aksion, që të rrëmben vëmendjen. Duhet parë!",1
Një film i mërzitshëm dhe plot sadisma. Muzika irrituese.  ,0
Ka mundësi të jetë një nga filmat më të mirë të realizuar ndonjëherë. ,1
E kam parë sa e sa herë dhe ia rekomandoj gjithkujt që dëshiron të ndihet mirë. ,1
"Romancë e mrekullueshme, e ëmbël dhe e hidhur njëkohësisht. Historia dhe aktrimi janë të një niveli shumë të lartë",1
"Supozohet të jetë aksion, por nuk ia vlen fare. ",0
"Një nga filmat më të mirë. Ka gjithçka aty brenda: aventurë, romancë, humor, aksion.",1
Film me aktrim të shkëlqyer dhe me skenar të balancuar mirë.,1
Rikrijim aspak origjinal i historisë. Film i mërzitshëm nga fillimi deri në fund. ,0
"Skenar i dëbët, me kalime nga një vend në një tjetër pa asnjë kuptim. ",0
E shoh në krishtlindje. Përmbledh gjërat me vlerë në jetë dhe si të jeshë i mençur dhe me fat për të vendosur.,1
Më pëlqeu shumë! U mahnita nga aktrimi i përkryer.,1
Gjithkush e kupton që skenari është i keq. E pabesueshme që është parë tej mase. ,0
"Histori interesante, por e trishtë në fund. Filmi është argëtues dhe ia vlen të shihet. ",1
Një nga filmat më argëtues të viteve ‘90,1
Efekte pamore shumë të dobëta. Kanë qenë më të mira në vitet ‘30. Shpërdorim parash. ,0
Duhet shmangur me çdo kusht. Një nga filmat më të shpifur që kam parë ndër vite. ,0
i fryrë dhe pa përmbajtje.,0
Film horror që të bën për vete. Skenari është imagjinar por shumë interesant dhe i besueshëm. Dialogjet me nivel. ,1
Skenar qesharak nga fillimi në fund. Aktrim i dobët dhe efekte artificiale që nuk ndihmojnë. ,0
Histori interesante e sjellë si një aventurë dhe aksion. Regji dhe aktrim i shkëlqyer që mbështeten nga efekte të realizuara mirë. ,1
Pse nuk ka më filma si ky?! Film i papërsëritshëm aksion dhe me arte marciale. ,1
Dhunë e neveritshme. Film i bazuar te hakmarrja që shfaq shumë dhunë ndaj grave. ,0
Për mua ky film ngelet një nga më të mirët e të gjitha kohërave. Kryevepër e papërsëritshme. ,1
Nuk do shpenzoja asnjë qindarkë për këtë.,0
Kryevepër! E gjithë merita e regjisorit.,1
Film i thjeshtë në një mënyrë idiote. Jep një pamje shumë naive të problemeve shoqërore. ,0
